agahomology	HOMOLOGY_DB	Anopheles gambiae	African malaria mosquito				AnnotationData
ag	AG_DB	Arabidopsis thaliana	Arabidopsis	Affymetrix	Arabidopsis Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=atgenome1	AnnotationData
ath1121501	AG_DB	Arabidopsis thaliana	Arabidopsis	Affymetrix	Arabidopsis ATH1 Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=arab	AnnotationData
athhomology	HOMOLOGY_DB	Arabidopsis thaliana	Arabidopsis				AnnotationData
btahomology	HOMOLOGY_DB	Bos taurus	Cattle				AnnotationData
celhomology	HOMOLOGY_DB	Caenorhabditis elegans	C. elegans				AnnotationData
cfahomology	HOMOLOGY_DB	Canis familiaris	Dog				AnnotationData
cinhomology	HOMOLOGY_DB	Ciona intestinalis					AnnotationData
cMAP	HGU95AV2_DB						FunctionalAnnotation
dmehomology	HOMOLOGY_DB	Drosophila melanogaster	Fly				AnnotationData
drehomology	HOMOLOGY_DB	Danio rerio	Zebrafish				AnnotationData
drosgenome1	HGU95AV2_DB	Drosophila melanogaster	Fly	Affymetrix	Drosophila Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=fly	AnnotationData
drosophila2	HGU95AV2_DB	Drosophila melanogaster	Fly	Affymetrix	Drosophila Genome 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=fly-20	AnnotationData
egohomology	HOMOLOGY_DB	Eremothecium gossypii					AnnotationData
ggahomology	HOMOLOGY_DB	Gallus gallus	Chicken				AnnotationData
gmahomology	HOMOLOGY_DB	Glycine max	Soybean				AnnotationData
GO	GO_DB						FunctionalAnnotation
adme16cod	HGU95AV2_DB	Rattus norvegicus	Rat	GE	CodeLink ADME Rat 16-Assay Bioarray	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_adme_rat_bioarray	AnnotationData
h10kcod	HGU95AV2_DB	Homo sapiens	Human	GE	CodeLink UniSet Human I Bioarray (~10 000 human genes)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_human_bioarrays#10K	AnnotationData
h20kcod	HGU95AV2_DB	Homo sapiens	Human	GE	CodeLink UniSet Human 20k I Bioarray	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_human_bioarrays	AnnotationData
hi16cod	HGU95AV2_DB	Homo sapiens	Human	GE	CodeLink Human Inflammation 16 Bioarray	http://www.gehealthcare.com/usen/microarrays/docs/genelists/GeneList_300076.txt	AnnotationData
hwgcod	HGU95AV2_DB	Homo sapiens	Human	GE	CodeLink Human Whole Genome Bioarray (~55 000 human genes)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_human_bioarrays#Whole	AnnotationData
m10kcod	HGU95AV2_DB	Mus musculus	Mouse	GE	CodeLink UniSet Mouse I Bioarray (~10 000 mouse gene targets)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_uniset_mouse1_bioarray#10K	AnnotationData
m20kcod	HGU95AV2_DB	Mus musculus	Mouse	GE	CodeLink UniSet Mouse 20k I Bioarray	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_uniset_mouse1_bioarray	AnnotationData
mi16cod	HGU95AV2_DB	Mus musculus	Mouse	GE	CodeLink Mouse Inflammation 16 Bioarray	http://www.gehealthcare.com	AnnotationData
mwgcod	HGU95AV2_DB	Mus musculus	Mouse	GE	CodeLink Mouse Whole Genome Bioarray (~36 000 mouse gene targets)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_uniset_mouse1_bioarray	AnnotationData
r10kcod	HGU95AV2_DB	Rattus norvegicus	Rat	GE	CodeLink UniSet Rat I Bioarray (~10 000 rat gene targets)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_uniset_rat1_bioarray#2	AnnotationData
ri16cod	HGU95AV2_DB	Rattus norvegicus	Rat	GE	CodeLink Rat Inflammation 16 Bioarray	http://www.gehealthcare.com/usen/microarrays/docs/genelists/GeneList_300077.txt	AnnotationData
rwgcod	HGU95AV2_DB	Rattus norvegicus	Rat	GE	CodeLink Rat Whole Genome Bioarray (~34 000 rat gene targets)	http://www1.amershambiosciences.com/aptrix/upp01077.nsf/Content/codelink_uniset_rat1_bioarray	AnnotationData
hs25kresogen	HGU95AV2_DB	Homo sapiens	Human	RNG_MRC	Human Pangenomic 25k Set	http://www.microarray.fr	AnnotationData
mm24kresogen	HGU95AV2_DB	Mus musculus	Mouse	RNG_MRC	Mouse Pangenomic 24k Set	http://www.microarray.fr	AnnotationData
hcg110	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Cancer G110 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hcg110	AnnotationData
hgfocus	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome Focus Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=focus	AnnotationData
hgu133a2	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U133A 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu133-20	AnnotationData
hgu133a	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U133 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu133	AnnotationData
hgu133b	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U133 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu133	AnnotationData
hgu133plus2	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U133 Plus 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hg-u133-plus	AnnotationData
hgu95a	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95av2	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95b	HGU95AV2_DB	Homo sapiens	Human	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
